;20-01-11;20-01-12;20-01-13;20-01-14;20-01-15;20-01-16;20-01-17;20-01-18;20-01-19;20-01-20;20-01-21;20-01-22;20-01-23;20-01-24;20-01-25;20-01-26;20-01-27;20-01-28;20-01-29;20-01-30;20-01-31;20-02-01;20-02-02;20-02-03;20-02-04;20-02-05;20-02-06;20-02-07;20-02-08;20-02-09;20-02-10;20-02-11;20-02-12;20-02-13;20-02-14;20-02-15;20-02-16;20-02-17;20-02-18;20-02-19;20-02-20;20-02-21;20-02-22;20-02-23;20-02-24;20-02-25;20-02-26;20-02-27;20-02-28;20-02-29;20-03-01;20-03-02;20-03-03;20-03-04;20-03-05;20-03-06;20-03-07;20-03-08;20-03-09;20-03-10;20-03-11;country;region;population
Switzerland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;4;9;6;15;16;32;26;94;54;102.0;19.0;114.0;166.0;Switzerland;Western Europe;8591365
Austria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;3;3;5;5;4;6;13;13;19;19.0;19.0;70.0;94.0;Austria;Western Europe;8955102
Germany;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;1;2;1;2;2;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;5;27;13;51;33;38;52;109;185;150;218.0;237.0;426.0;;Germany;Western Europe;83517045
Luxembourg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.0;0.0;0.0;;Luxembourg;Western Europe;615729
Liechtenstein;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.0;0.0;0.0;;Liechtenstein;Western Europe;38019
Belgium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;5;10;27;59;60;31.0;39.0;28.0;;Belgium;Western Europe;11539328
Netherlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;3;8;6;15;44;46;60;76.0;57.0;61.0;;Netherlands;Western Europe;17097130
United Kingdom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;4;3;13;15;36;29;44;42;68.0;46.0;54.0;83.0;United Kingdom;Northern Europe;67530172
Ireland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;4;7;0;0;0.0;0.0;0.0;;Ireland;Northern Europe;4882495
Iceland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;6;7;10;11;8;5;8.0;2.0;0.0;;Iceland;Northern Europe;339031
